id_player,total_attempts,attempts_on_target,attempts_off_target,blocked
250016833,20,12,6,2
250103758,21,10,5,6
250121533,17,10,6,1
250076574,20,9,5,6
250105927,15,8,3,4
250101534,17,7,6,4
250138382,14,7,1,6
250096849,12,7,2,3
250127111,11,7,2,2
250080553,10,7,2,1
250088061,17,6,7,4
250099180,13,6,5,2
250002096,13,6,4,3
250118964,12,6,5,1
250124460,12,6,3,3
250139445,10,6,3,1
250134320,9,6,2,1
250102035,8,6,1,1
250041770,7,6,1,0
250112880,15,5,8,2
250052469,13,5,6,2
250130406,13,5,5,3
250194673,13,5,4,4
250176450,11,5,2,4
250124430,11,5,1,5
250144965,9,5,2,2
250064274,8,5,2,1
250146674,8,5,1,2
250121294,8,5,1,2
250106939,8,5,1,2
250127347,7,5,2,0
250096698,7,5,1,1
250171301,12,4,4,4
250171184,12,4,1,7
250160436,10,4,3,3
250141861,9,4,5,0
250183519,9,4,4,1
250153402,9,4,2,3
250112186,9,4,2,3
250078012,8,4,1,3
250130414,8,4,0,4
250091165,7,4,2,1
250134138,6,4,2,0
250113373,6,4,2,0
250132811,5,4,0,1
250118281,5,4,0,1
250091187,5,4,0,1
250066886,16,3,7,6
250132407,9,3,6,0
250126449,9,3,5,1
250099258,8,3,4,1
250134304,8,3,3,2
250118504,8,3,3,2
250005335,8,3,3,2
250105717,8,3,2,3
250081223,8,3,1,4
250169706,7,3,4,0
250156459,7,3,3,1
250099671,7,3,2,2
1905153,7,3,2,2
250173126,6,3,3,0
250070417,6,3,2,1
250049573,6,3,2,1
250159544,6,3,2,1
250147342,6,3,2,1
250135339,6,3,2,1
250061361,6,3,2,1
250196588,6,3,1,2
250134536,6,3,1,2
250079383,6,3,0,3
250117705,5,3,2,0
250113211,5,3,2,0
250102868,5,3,2,0
250081555,5,3,2,0
250129746,5,3,1,1
250121584,5,3,1,1
250112217,5,3,1,1
250104066,5,3,1,1
250200298,5,3,0,2
250089228,5,3,0,2
250106148,4,3,1,0
250139207,3,3,0,0
250134856,3,3,0,0
250063984,3,3,0,0
250020850,3,3,0,0
1903428,3,3,0,0
250096954,10,2,3,5
250177886,9,2,7,0
250169705,9,2,6,1
250128377,8,2,4,2
250064446,8,2,4,2
250112400,8,2,3,3
250171055,8,2,2,4
250023009,7,2,5,0
250123677,7,2,3,2
250091290,7,2,3,2
250087938,7,2,3,2
250164991,6,2,4,0
250058722,6,2,4,0
250187759,6,2,1,3
250106969,6,2,1,3
250153349,6,2,0,4
250102308,5,2,3,0
250101727,5,2,3,0
250051754,5,2,3,0
250024456,5,2,3,0
250119181,5,2,2,1
250064064,5,2,2,1
250042422,5,2,2,1
250068805,5,2,2,1
250022829,5,2,2,1
250097638,5,2,1,2
250079677,5,2,0,3
250110734,4,2,2,0
250102866,4,2,2,0
250188511,4,2,1,1
250174063,4,2,1,1
250172672,4,2,1,1
250115436,4,2,1,1
250112224,4,2,1,1
250105244,4,2,1,1
250086789,4,2,1,1
250145803,4,2,1,1
250143328,4,2,1,1
250086263,4,2,1,1
250063394,4,2,1,1
250135615,4,2,1,1
250089289,4,2,0,2
50327420,3,2,1,0
250196712,3,2,1,0
250105167,3,2,1,0
250040471,3,2,1,0
250163447,3,2,1,0
250063505,3,2,1,0
250194573,3,2,1,0
250164780,3,2,1,0
250064233,3,2,1,0
250130234,3,2,0,1
250127540,3,2,0,1
250116904,3,2,0,1
250058258,3,2,0,1
250028211,3,2,0,1
250124222,3,2,0,1
250187067,3,2,0,1
250118797,3,2,0,1
250088320,3,2,0,1
250091828,2,2,0,0
250089209,2,2,0,0
250079003,2,2,0,0
250056566,2,2,0,0
250028715,2,2,0,0
250198119,2,2,0,0
250188223,2,2,0,0
250187899,2,2,0,0
250181460,2,2,0,0
250071671,2,2,0,0
250040521,2,2,0,0
250181712,2,2,0,0
250116067,2,2,0,0
250092194,2,2,0,0
250172227,2,2,0,0
250174822,11,1,3,7
250076126,10,1,5,4
250042631,8,1,6,1
250019498,8,1,6,1
250112122,8,1,5,2
250024349,8,1,4,3
250132829,8,1,2,5
250146926,7,1,4,2
250108215,7,1,4,2
250086315,7,1,4,2
250128451,7,1,3,3
250098471,6,1,5,0
250177497,6,1,4,1
250162865,6,1,4,1
250132399,6,1,4,1
250113276,6,1,4,1
250046522,6,1,4,1
98023,6,1,3,2
250005343,6,1,3,2
250013022,6,1,2,3
250193519,6,1,2,3
250113237,5,1,3,1
250088104,5,1,3,1
250110894,5,1,3,1
250153849,5,1,2,2
250097909,5,1,2,2
250124849,5,1,1,3
250106649,5,1,0,4
250144858,5,1,0,4
250112690,4,1,3,0
250177722,4,1,3,0
250160568,4,1,3,0
250113947,4,1,3,0
250054949,4,1,3,0
250173502,4,1,2,1
250167977,4,1,2,1
250144297,4,1,2,1
250140940,4,1,2,1
250132730,4,1,2,1
250117806,4,1,2,1
250064188,4,1,2,1
250058227,4,1,2,1
250132323,4,1,2,1
250115134,4,1,2,1
250104939,4,1,2,1
250196543,4,1,1,2
250163400,4,1,1,2
250079279,4,1,1,2
250053044,4,1,1,2
250133390,4,1,1,2
250117405,4,1,1,2
250123695,4,1,0,3
250172668,3,1,2,0
250169730,3,1,2,0
250188225,3,1,2,0
250166754,3,1,2,0
250113142,3,1,2,0
250042632,3,1,2,0
250081207,3,1,1,1
250055663,3,1,1,1
250145629,3,1,1,1
250135101,3,1,1,1
250106935,3,1,1,1
250078593,3,1,1,1
250066156,3,1,1,1
250088039,3,1,1,1
250128120,3,1,0,2
250010223,3,1,0,2
74699,2,1,1,0
250189506,2,1,1,0
250176201,2,1,1,0
250161248,2,1,1,0
250127284,2,1,1,0
250121132,2,1,1,0
250118391,2,1,1,0
250107324,2,1,1,0
250090766,2,1,1,0
250079545,2,1,1,0
250064252,2,1,1,0
250025791,2,1,1,0
250014042,2,1,1,0
250171283,2,1,1,0
250113392,2,1,1,0
250106722,2,1,1,0
250083732,2,1,1,0
250043066,2,1,1,0
250137525,2,1,1,0
250080471,2,1,1,0
250013058,2,1,1,0
250187238,2,1,0,1
250116951,2,1,0,1
250061027,2,1,0,1
250056159,2,1,0,1
250032786,2,1,0,1
104733,2,1,0,1
250193541,2,1,0,1
250187620,2,1,0,1
250161881,2,1,0,1
250153634,2,1,0,1
250123428,2,1,0,1
250092517,2,1,0,1
250193506,2,1,0,1
250123978,2,1,0,1
250064482,2,1,0,1
250061589,2,1,0,1
250144964,2,1,0,1
250140936,2,1,0,1
250105890,2,1,0,1
250200231,1,1,0,0
250181680,1,1,0,0
250172673,1,1,0,0
250168990,1,1,0,0
250163454,1,1,0,0
250153945,1,1,0,0
250146610,1,1,0,0
250137390,1,1,0,0
250129446,1,1,0,0
250129175,1,1,0,0
250116734,1,1,0,0
250101097,1,1,0,0
250091013,1,1,0,0
250086316,1,1,0,0
250067630,1,1,0,0
250064027,1,1,0,0
250055660,1,1,0,0
250029535,1,1,0,0
250017824,1,1,0,0
250014709,1,1,0,0
250187837,1,1,0,0
250164785,1,1,0,0
250163186,1,1,0,0
250153701,1,1,0,0
250080572,1,1,0,0
250055957,1,1,0,0
250055110,1,1,0,0
250041771,1,1,0,0
250197796,1,1,0,0
250196663,1,1,0,0
250172787,1,1,0,0
250161142,1,1,0,0
250138985,1,1,0,0
250058270,1,1,0,0
250027008,1,1,0,0
250010259,1,1,0,0
1905643,1,1,0,0
250157930,7,0,6,1
250092668,7,0,3,4
250081553,6,0,6,0
250024370,6,0,5,1
250064232,6,0,4,2
250076357,6,0,2,4
250125538,6,0,1,5
250076631,5,0,5,0
250200228,5,0,2,3
250136465,5,0,2,3
250188474,5,0,1,4
250121965,4,0,4,0
250198240,4,0,3,1
250065419,4,0,3,1
250019573,4,0,3,1
250005231,4,0,3,1
250167111,4,0,2,2
250112969,4,0,2,2
250101284,4,0,2,2
250080570,4,0,2,2
250067295,4,0,2,2
250008901,4,0,1,3
250174149,3,0,3,0
250127538,3,0,3,0
250091198,3,0,3,0
250183092,3,0,2,1
250132401,3,0,2,1
250122213,3,0,2,1
250082469,3,0,2,1
250019616,3,0,2,1
250059115,3,0,2,1
250187184,3,0,1,2
250107477,3,0,1,2
250052554,3,0,1,2
250122746,3,0,1,2
250042329,3,0,1,2
250131901,3,0,0,3
250065301,3,0,0,3
250171067,3,0,0,3
250196709,2,0,2,0
250189047,2,0,2,0
250158476,2,0,2,0
250130786,2,0,2,0
250127439,2,0,2,0
250097337,2,0,2,0
250085751,2,0,2,0
250077679,2,0,2,0
250022869,2,0,2,0
250193531,2,0,2,0
250155799,2,0,2,0
250132465,2,0,2,0
250066157,2,0,2,0
250065413,2,0,2,0
250015966,2,0,2,0
250177423,2,0,2,0
250132810,2,0,2,0
250056685,2,0,2,0
250052849,2,0,2,0
250200313,2,0,1,1
250168465,2,0,1,1
250161140,2,0,1,1
250158901,2,0,1,1
250145845,2,0,1,1
250143693,2,0,1,1
250128409,2,0,1,1
250128385,2,0,1,1
250121218,2,0,1,1
250119677,2,0,1,1
250113993,2,0,1,1
250096309,2,0,1,1
250085369,2,0,1,1
250004721,2,0,1,1
250000679,2,0,1,1
250164835,2,0,1,1
250135416,2,0,1,1
250106967,2,0,1,1
250102901,2,0,1,1
250066739,2,0,1,1
250181428,2,0,1,1
250129735,2,0,1,1
250056189,2,0,1,1
250129343,2,0,1,1
250189363,2,0,0,2
250162177,2,0,0,2
250128255,2,0,0,2
250101557,2,0,0,2
250101444,2,0,0,2
250068808,2,0,0,2
50327423,2,0,0,2
107044,2,0,0,2
250079670,2,0,0,2
250193518,1,0,1,0
250188247,1,0,1,0
250187143,1,0,1,0
250163623,1,0,1,0
250156457,1,0,1,0
250138928,1,0,1,0
250131541,1,0,1,0
250121149,1,0,1,0
250115192,1,0,1,0
250113001,1,0,1,0
250112974,1,0,1,0
250096716,1,0,1,0
250081921,1,0,1,0
250017040,1,0,1,0
250004363,1,0,1,0
50327428,1,0,1,0
250196586,1,0,1,0
250192048,1,0,1,0
250166916,1,0,1,0
250148830,1,0,1,0
250142158,1,0,1,0
250139101,1,0,1,0
250139010,1,0,1,0
250136464,1,0,1,0
250129341,1,0,1,0
250127239,1,0,1,0
250121552,1,0,1,0
250114167,1,0,1,0
250103562,1,0,1,0
250091199,1,0,1,0
250077453,1,0,1,0
250074010,1,0,1,0
250064273,1,0,1,0
250197264,1,0,1,0
250187671,1,0,1,0
250178782,1,0,1,0
250174849,1,0,1,0
250174830,1,0,1,0
250139255,1,0,1,0
250121972,1,0,1,0
250118912,1,0,1,0
250112117,1,0,1,0
250105686,1,0,1,0
250067334,1,0,1,0
250063957,1,0,1,0
250057117,1,0,1,0
250052957,1,0,1,0
250041564,1,0,1,0
250024448,1,0,1,0
1906553,1,0,1,0
250186123,1,0,1,0
250180810,1,0,1,0
250170137,1,0,1,0
250170117,1,0,1,0
250144288,1,0,1,0
250112513,1,0,1,0
250090719,1,0,1,0
250082664,1,0,1,0
250200308,1,0,0,1
250198501,1,0,0,1
250176453,1,0,0,1
250156235,1,0,0,1
250127492,1,0,0,1
250122983,1,0,0,1
250112978,1,0,0,1
250088150,1,0,0,1
250027780,1,0,0,1
250172907,1,0,0,1
250169685,1,0,0,1
250154416,1,0,0,1
250138982,1,0,0,1
250138653,1,0,0,1
250132886,1,0,0,1
250124169,1,0,0,1
250115487,1,0,0,1
250112842,1,0,0,1
250101472,1,0,0,1
250185976,1,0,0,1
250143669,1,0,0,1
250110361,1,0,0,1
250101313,1,0,0,1
250089276,1,0,0,1
250058218,1,0,0,1
250056982,1,0,0,1
250042521,1,0,0,1
250026229,1,0,0,1
250023551,1,0,0,1
1909868,1,0,0,1
103806,1,0,0,1
102153,1,0,0,1
250183510,1,0,0,1
250176187,1,0,0,1
250102417,1,0,0,1
250050416,1,0,0,1
98078,0,0,0,0
97923,0,0,0,0
97746,0,0,0,0
74954,0,0,0,0
250187672,0,0,0,0
250187221,0,0,0,0
250174126,0,0,0,0
250171278,0,0,0,0
250169764,0,0,0,0
250163786,0,0,0,0
250162325,0,0,0,0
250161141,0,0,0,0
250157134,0,0,0,0
250142271,0,0,0,0
250135672,0,0,0,0
250135068,0,0,0,0
250132831,0,0,0,0
250129965,0,0,0,0
250124006,0,0,0,0
250123910,0,0,0,0
250123304,0,0,0,0
250121017,0,0,0,0
250117406,0,0,0,0
250113444,0,0,0,0
250113103,0,0,0,0
250112803,0,0,0,0
250106709,0,0,0,0
250105818,0,0,0,0
250105612,0,0,0,0
250104075,0,0,0,0
250087118,0,0,0,0
250087102,0,0,0,0
250086037,0,0,0,0
250085475,0,0,0,0
250064444,0,0,0,0
250063980,0,0,0,0
250061721,0,0,0,0
250051291,0,0,0,0
250042780,0,0,0,0
250041626,0,0,0,0
250040573,0,0,0,0
250023097,0,0,0,0
250016616,0,0,0,0
250012069,0,0,0,0
250006714,0,0,0,0
1909917,0,0,0,0
103335,0,0,0,0
102420,0,0,0,0
250198274,0,0,0,0
250193534,0,0,0,0
250191448,0,0,0,0
250189052,0,0,0,0
250174851,0,0,0,0
250166930,0,0,0,0
250156002,0,0,0,0
250141610,0,0,0,0
250132195,0,0,0,0
250128468,0,0,0,0
250128398,0,0,0,0
250128270,0,0,0,0
250128222,0,0,0,0
250124068,0,0,0,0
250121330,0,0,0,0
250117471,0,0,0,0
250117410,0,0,0,0
250104089,0,0,0,0
250103243,0,0,0,0
250101728,0,0,0,0
250101723,0,0,0,0
250101696,0,0,0,0
250101238,0,0,0,0
250101201,0,0,0,0
250101144,0,0,0,0
250099459,0,0,0,0
250091841,0,0,0,0
250091175,0,0,0,0
250091172,0,0,0,0
250090809,0,0,0,0
250089225,0,0,0,0
250081721,0,0,0,0
250079541,0,0,0,0
250078922,0,0,0,0
250069832,0,0,0,0
250068733,0,0,0,0
250067629,0,0,0,0
250066747,0,0,0,0
250066131,0,0,0,0
250058220,0,0,0,0
250055109,0,0,0,0
250029318,0,0,0,0
250003318,0,0,0,0
1907188,0,0,0,0
1906511,0,0,0,0
1902685,0,0,0,0
250198114,0,0,0,0
250197801,0,0,0,0
250196665,0,0,0,0
250196664,0,0,0,0
250194564,0,0,0,0
250188246,0,0,0,0
250186923,0,0,0,0
250181082,0,0,0,0
250175393,0,0,0,0
250172340,0,0,0,0
250171045,0,0,0,0
250169763,0,0,0,0
250169265,0,0,0,0
250164781,0,0,0,0
250163777,0,0,0,0
250163731,0,0,0,0
250161761,0,0,0,0
250154302,0,0,0,0
250153851,0,0,0,0
250138250,0,0,0,0
250135607,0,0,0,0
250134728,0,0,0,0
250134190,0,0,0,0
250132322,0,0,0,0
250132309,0,0,0,0
250130771,0,0,0,0
250126267,0,0,0,0
250122187,0,0,0,0
250121536,0,0,0,0
250117511,0,0,0,0
250117415,0,0,0,0
250115948,0,0,0,0
250110159,0,0,0,0
250099867,0,0,0,0
250098468,0,0,0,0
250096737,0,0,0,0
250094540,0,0,0,0
250090955,0,0,0,0
250089824,0,0,0,0
250089719,0,0,0,0
250089626,0,0,0,0
250087967,0,0,0,0
250087877,0,0,0,0
250086709,0,0,0,0
250081720,0,0,0,0
250080461,0,0,0,0
250079112,0,0,0,0
250077750,0,0,0,0
250073809,0,0,0,0
250067749,0,0,0,0
250058215,0,0,0,0
250058044,0,0,0,0
250052744,0,0,0,0
250041781,0,0,0,0
250039931,0,0,0,0
250029862,0,0,0,0
250028705,0,0,0,0
250024795,0,0,0,0
250019346,0,0,0,0
250014636,0,0,0,0
250011668,0,0,0,0
250007075,0,0,0,0
250006998,0,0,0,0
1906768,0,0,0,0
250200307,0,0,0,0
250199913,0,0,0,0
250199902,0,0,0,0
250198122,0,0,0,0
250198120,0,0,0,0
250197958,0,0,0,0
250197800,0,0,0,0
250194557,0,0,0,0
250193442,0,0,0,0
250190378,0,0,0,0
250189107,0,0,0,0
250187793,0,0,0,0
250187320,0,0,0,0
250186116,0,0,0,0
250182794,0,0,0,0
250182606,0,0,0,0
250180309,0,0,0,0
250178067,0,0,0,0
250177879,0,0,0,0
250177597,0,0,0,0
250177333,0,0,0,0
250176491,0,0,0,0
250174737,0,0,0,0
250174602,0,0,0,0
250172594,0,0,0,0
250171667,0,0,0,0
250168996,0,0,0,0
250166680,0,0,0,0
250165236,0,0,0,0
250165221,0,0,0,0
250164004,0,0,0,0
250159294,0,0,0,0
250154458,0,0,0,0
250154309,0,0,0,0
250139036,0,0,0,0
250138999,0,0,0,0
250138626,0,0,0,0
250138623,0,0,0,0
250137395,0,0,0,0
250136445,0,0,0,0
250134952,0,0,0,0
250133903,0,0,0,0
250128391,0,0,0,0
250127024,0,0,0,0
250123020,0,0,0,0
250121329,0,0,0,0
250117491,0,0,0,0
250116759,0,0,0,0
250116699,0,0,0,0
250107509,0,0,0,0
250107089,0,0,0,0
250105681,0,0,0,0
250104128,0,0,0,0
250103561,0,0,0,0
250099399,0,0,0,0
250097935,0,0,0,0
250090398,0,0,0,0
250090101,0,0,0,0
250089688,0,0,0,0
250087431,0,0,0,0
250081931,0,0,0,0
250081341,0,0,0,0
250077644,0,0,0,0
250073778,0,0,0,0
250063617,0,0,0,0
250056861,0,0,0,0
250055899,0,0,0,0
250055216,0,0,0,0
250055149,0,0,0,0
250054969,0,0,0,0
250054393,0,0,0,0
250042779,0,0,0,0
250029377,0,0,0,0
250014114,0,0,0,0
250007631,0,0,0,0
250004986,0,0,0,0
1902445,0,0,0,0
108908,0,0,0,0
93443,,,,
69178,,,,
250204164,,,,
250202692,,,,
250201731,,,,
250201718,,,,
250200248,,,,
250199905,,,,
250199900,,,,
250199899,,,,
250199543,,,,
250199225,,,,
250198502,,,,
250198498,,,,
250197866,,,,
250196593,,,,
250196587,,,,
250196584,,,,
250196581,,,,
250196544,,,,
250196542,,,,
250195173,,,,
250194271,,,,
250193410,,,,
250192873,,,,
250192699,,,,
250192639,,,,
250192405,,,,
250192269,,,,
250190780,,,,
250190776,,,,
250190774,,,,
250190375,,,,
250190232,,,,
250190117,,,,
250189610,,,,
250189230,,,,
250189174,,,,
250189136,,,,
250188470,,,,
250188129,,,,
250187771,,,,
250185049,,,,
250184504,,,,
250183894,,,,
250183341,,,,
250182971,,,,
250180112,,,,
250180111,,,,
250180059,,,,
250179734,,,,
250179137,,,,
250179078,,,,
250178085,,,,
250178076,,,,
250177933,,,,
250177819,,,,
250177612,,,,
250177593,,,,
250177433,,,,
250177426,,,,
250177381,,,,
250177259,,,,
250176532,,,,
250176488,,,,
250176477,,,,
250176229,,,,
250176213,,,,
250176212,,,,
250176188,,,,
250176181,,,,
250174995,,,,
250174331,,,,
250173127,,,,
250172534,,,,
250171662,,,,
250171659,,,,
250171100,,,,
250170952,,,,
250170141,,,,
250170133,,,,
250169918,,,,
250169894,,,,
250169891,,,,
250169577,,,,
250169576,,,,
250168729,,,,
250168060,,,,
250166787,,,,
250165547,,,,
250164989,,,,
250164860,,,,
250164853,,,,
250164740,,,,
250164626,,,,
250164169,,,,
250164068,,,,
250164054,,,,
250163658,,,,
250163505,,,,
250163224,,,,
250162627,,,,
250162176,,,,
250160990,,,,
250160835,,,,
250154332,,,,
250154301,,,,
250153773,,,,
250153677,,,,
250153412,,,,
250153408,,,,
250150470,,,,
250148144,,,,
250139387,,,,
250139028,,,,
250138956,,,,
250138950,,,,
250138635,,,,
250138286,,,,
250138239,,,,
250137521,,,,
250135608,,,,
250135499,,,,
250135497,,,,
250129928,,,,
250129831,,,,
250128898,,,,
250127502,,,,
250127149,,,,
250127130,,,,
250124400,,,,
250123440,,,,
250119144,,,,
250118962,,,,
250118787,,,,
250117408,,,,
250116069,,,,
250113263,,,,
250112488,,,,
250109859,,,,
250109381,,,,
250109378,,,,
250108031,,,,
250106979,,,,
250106880,,,,
250105664,,,,
250104101,,,,
250103498,,,,
250101698,,,,
250096761,,,,
250088389,,,,
250088122,,,,
250088117,,,,
250087542,,,,
250086637,,,,
250082738,,,,
250082625,,,,
250081634,,,,
250079522,,,,
250074072,,,,
250070418,,,,
250069830,,,,
250067821,,,,
250066521,,,,
250065307,,,,
250064310,,,,
250061507,,,,
250058260,,,,
250058121,,,,
250056735,,,,
250042778,,,,
250041563,,,,
250040599,,,,
250022366,,,,
250017814,,,,
250015753,,,,
250011071,,,,
250000104,,,,
108501,,,,
103827,,,,
101585,,,,
